;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
903;533;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser, Affaires étrangères et développement international;;députés du parlement européen
904;534;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
905;534;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
906;534;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Affaires étrangères et développement international;;
907;535;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;secrétaire d'état auprès du premier ministre chargé du numérique
908;535;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;secrétaire d'état auprès du premier ministre chargé du numérique
909;535;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;secrétaire d'état auprès du premier ministre chargé du numérique
910;535;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser, Affaires étrangères et développement international;;secrétaire d'état auprès du premier ministre chargé du numérique
911;536;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;chef de cabinet de Bruno Le Maire
912;536;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;chef de cabinet de Bruno Le Maire
913;536;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;chef de cabinet de Bruno Le Maire
914;540;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
915;540;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
916;540;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
917;540;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
918;540;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
919;540;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
920;540;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
921;540;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
922;540;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
923;540;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
924;540;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Intérieur, Economie et finances, Education nationale, enseignement supérieur et recherche, Environnement, énergie et mer;;
925;541;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
926;541;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
927;541;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
928;541;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
929;541;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
930;541;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
931;541;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances, Environnement, énergie et mer;;
932;545;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
933;545;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
934;545;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Economie et finances;;
935;547;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
936;547;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
937;547;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
938;548;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
939;548;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
940;548;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
941;548;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
942;548;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances;;
943;549;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
944;549;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
945;549;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
946;549;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
947;549;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
948;549;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances, Education nationale, enseignement supérieur et recherche;;
949;549;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
950;549;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
951;550;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
952;550;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
953;550;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
954;550;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
955;550;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Education nationale, enseignement supérieur et recherche;;
956;551;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
957;551;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
958;551;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
959;551;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
960;551;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales, Environnement, énergie et mer;;
961;552;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
962;552;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
963;552;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
964;552;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
965;552;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
966;552;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
967;552;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
968;552;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé;;
969;552;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
970;552;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
971;554;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
972;554;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
973;554;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
974;554;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
975;554;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
976;554;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
977;554;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
978;554;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
979;554;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
980;554;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
981;554;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
982;554;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Intérieur, Affaires sociales et santé, Economie et finances, Education nationale, enseignement supérieur et recherche, Environnement, énergie et mer;;
983;556;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
984;556;Membre du Gouvernement ou membre de cabinet ministériel - Logement;;
985;559;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
986;559;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
987;559;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
988;559;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
989;559;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
990;560;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
991;560;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
992;560;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
993;560;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
994;560;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
995;560;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
996;560;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Intérieur, Affaires sociales et santé, Economie et finances;;
997;561;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
998;561;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
999;561;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1000;562;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1001;562;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1002;562;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1003;563;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1004;563;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
1005;563;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
1006;563;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1007;563;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
1008;563;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
1009;563;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Famille, enfance et droits des femmes, Affaires sociales et santé, Education nationale, enseignement supérieur et recherche;;
1010;563;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
1011;563;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
1012;564;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
1013;564;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
1014;565;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1015;565;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
1016;565;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1017;565;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1018;565;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
1019;565;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1020;565;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
1021;565;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
1022;565;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
1023;565;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Intérieur, Economie et finances, Education nationale, enseignement supérieur et recherche, Affaires étrangères et développement international;;
1024;566;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1025;566;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
1026;566;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1027;566;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1028;566;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1029;566;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1030;566;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1031;566;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
1032;566;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
1033;566;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Culture et communication, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances, Education nationale, enseignement supérieur et recherche;;
1034;567;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
1035;567;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1036;567;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication, Economie et finances;;
1037;569;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
1038;569;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1039;569;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
1040;570;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministère des transports
1041;570;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministère des transports
1042;573;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1043;573;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1044;573;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Economie et finances;;
1045;574;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1046;574;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1047;574;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Economie et finances;;
1048;575;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1049;575;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1050;575;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1051;575;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Aménagement du territoire, ruralité et collectivités territoriales;;
1052;576;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
1053;576;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
1054;576;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
1055;576;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1056;576;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1057;576;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1058;576;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances;;
1059;577;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1060;577;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1061;577;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Economie et finances;;
1062;578;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1063;578;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
1064;578;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1065;578;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1066;578;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Intérieur, Aménagement du territoire, ruralité et collectivités territoriales;;
1067;580;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1068;580;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1069;580;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Economie et finances;;
1070;581;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
1071;581;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1072;581;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Economie et finances;;
1073;586;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1074;586;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1075;586;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1076;586;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1077;586;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
1078;587;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1079;587;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1080;587;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1081;587;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
1082;588;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;MINISTERE CHARGE DES TRANSPORTS
1083;588;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;MINISTERE CHARGE DES TRANSPORTS
1084;588;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;MINISTERE CHARGE DES TRANSPORTS
1085;588;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;MINISTERE CHARGE DES TRANSPORTS
1086;588;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Intérieur, Autres : à préciser;;MINISTERE CHARGE DES TRANSPORTS
1087;589;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1088;589;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1089;589;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1090;590;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
1091;590;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1092;590;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
1093;591;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1094;591;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1095;591;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1096;592;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1097;592;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1098;593;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1099;593;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1100;595;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1101;595;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1102;596;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
1103;596;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1104;596;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1105;596;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Aménagement du territoire, ruralité et collectivités territoriales;;
1106;597;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1107;597;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1108;598;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
1109;598;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1110;598;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
1111;599;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1112;599;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1113;600;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1114;600;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1115;602;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
1116;602;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
1117;604;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1118;604;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1119;604;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1120;604;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1121;604;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
1122;607;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1123;607;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1124;608;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1125;608;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1126;608;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1127;608;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
1128;609;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1129;609;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1130;609;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1131;611;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1132;611;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1133;612;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
1134;612;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1135;612;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport;;
1136;613;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
1137;613;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1138;613;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1139;613;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances;;
1140;614;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1141;614;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1142;615;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1143;615;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1144;618;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
1145;618;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1146;618;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
1147;619;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1148;619;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1149;619;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1150;619;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1151;619;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Economie et finances;;
1152;620;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1153;620;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1154;620;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1155;620;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1156;620;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1157;620;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
1158;621;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1159;621;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1160;621;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1161;621;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
1162;622;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1163;622;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1164;622;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1165;624;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1166;624;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1167;625;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère des Transports
1168;625;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère des Transports
1169;625;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Ministère des Transports
1170;626;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1171;626;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1172;626;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
1173;627;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1174;627;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1175;627;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1176;627;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1177;627;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1178;627;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
1179;633;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1180;633;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1181;633;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1182;634;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1183;634;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1184;635;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1185;635;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1186;635;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1187;636;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
1188;636;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
1189;637;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1190;637;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1191;637;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
1192;638;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1193;638;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
1194;639;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1195;639;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1196;639;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1197;639;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
1198;640;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1199;640;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1200;640;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
1201;642;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministre des Transports
1202;642;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministre des Transports
1203;642;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Ministre des Transports
1204;643;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1205;643;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1206;643;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1207;645;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1208;645;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1209;645;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1210;647;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1211;647;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1212;647;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1213;653;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1214;653;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1215;653;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1216;654;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1217;654;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1218;654;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1219;655;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1220;655;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1221;655;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
